USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
earlyoom    1095  0.5  0.0   2656   916 ?        SLs  18:56   0:00 /usr/bin/earlyoom -r 3600 -n --avoid (^|/)(init|systemd|Xorg|sshd)$
root        1098  2.0  0.0   3380  1916 ?        Ds   18:56   0:00 /usr/bin/iptables-restore /etc/iptables/iptables.rules
root        1100  2.0  0.0  10516  4092 ?        S    18:56   0:00 bash /usr/bin/chkboot
root        1106  5.0  0.0  31808  6556 ?        Ss   18:56   0:00 /usr/lib/systemd/systemd-logind
root        1125  0.0  0.0      0     0 ?        I<   18:56   0:00 [cfg80211]
root        1135  0.0  0.0      0     0 ?        I    18:56   0:00 [kworker/4:3-events]
root        1165  1.0  0.0  84172   956 ?        Ss   18:56   0:00 gpg-agent --homedir /etc/pacman.d/gnupg --use-standard-socket --daemon
root        1179  0.0  0.0  10908  4432 ?        Ss   18:56   0:00 /usr/bin/bash /usr/bin/pacman-key --populate archlinux
root        1205 86.0  0.0  14724  6044 ?        RL   18:56   0:00 gpg --homedir /etc/pacman.d/gnupg/ --no-permission-warning --quiet --import /usr/share/pacman/keyrings/archlinux.gpg
root        1209  0.0  0.0      0     0 ?        I<   18:56   0:00 [cryptd]
root        1213  0.0  0.0   2704   980 ?        S    18:56   0:00 /usr/bin/flock -x -w 1 9
root        1338 14.0  0.0  11532  4440 ?        D    18:56   0:00 /sbin/modprobe -q -- ipt_conntrack
root        1344  0.0  0.0      0     0 ?        I    18:56   0:00 [kworker/1:3-events]
root        1533  0.0  0.0      0     0 ?        I<   18:56   0:00 [amdgpu_dm_hpd_r]
root        1534  0.0  0.0      0     0 ?        I<   18:56   0:00 [amdgpu_dm_hpd_r]
root        1535  0.0  0.0      0     0 ?        I<   18:56   0:00 [amdgpu_dm_hpd_r]
root        1537  0.0  0.0      0     0 ?        I<   18:56   0:00 [dm_vblank_contr]
root        1579  0.0  0.0      0     0 ?        S    18:56   0:00 [card0-crtc0]
root        1584  0.0  0.0      0     0 ?        S    18:56   0:00 [card0-crtc1]
root        1586  0.0  0.0      0     0 ?        S    18:56   0:00 [card0-crtc2]
root        1587  0.0  0.0      0     0 ?        S    18:56   0:00 [card0-crtc3]
root        1605  0.0  0.0  15640  6440 ?        Ss   18:56   0:00 udevadm settle
root        1643  0.0  0.0  10380  4032 ?        Ss   18:56   0:00 /bin/bash /home/max/.script/getsockets.sh
root        1655  0.0  0.0      0     0 ?        I    18:56   0:00 [kworker/0:3-events]
root        1659  0.0  0.0  15152  3328 ?        D    18:56   0:00 /usr/lib/systemd/systemd-vconsole-setup
root        1666  0.0  0.0  18788  5912 ?        R    18:56   0:00 ps aux
root        1668  0.0  0.0  10516  1724 ?        S    18:56   0:00 bash /usr/bin/chkboot
